Reaction,ReactionName,Flux
OCTDPS,"Octaprenyl pyrophosphate synthase",0
ASNN,"L-asparaginase",0
DPCOAK,"Dephospho-CoA kinase",0
HETZK,"Hydroxyethylthiazole kinase",0
ASNS2,"Asparagine synthetase",0
ASPCT,"Aspartate carbamoyltransferase",0
KDOPS,"3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase",0
KDOPP,"3-deoxy-manno-octulosonate-8-phosphatase",0
DMPPS,"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)",0
EX_26dap__M_e,"Meso-2,6-Diaminoheptanedioate exchange",0
MCOATA,"Malonyl-CoA-ACP transacylase",0
IPDPS,"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)",0
AST,"Arginine succinyltransferase",0
SGDS,"Succinylglutamate desuccinylase",0
DAPE,"Diaminopimelate epimerase",0
DHDPRy,"Dihydrodipicolinate reductase (NADPH)",0
EX_acnam_e,"N-Acetylneuraminate exchange",0
HSK,"Homoserine kinase",0
SDPTA,"Succinyldiaminopimelate transaminase",0
GSPMDA,"Glutathionylspermidine amidase",0
GSPMDS,"Glutathionylspermidine synthetase",0
GUAD,"Guanine deaminase",0
THRS,"Threonine synthase",0
EX_amp_e,"AMP exchange",0
HSST,"Homoserine O-succinyltransferase",0
PPNDH,"Prephenate dehydratase",0
TMAOR1,"Trimethylamine N-oxide reductase (menaquinol 8)",0
TMAOR2,"Trimethylamine N-oxide reductase (demethylmenaquinol 8)",0
DGK1,"Deoxyguanylate kinase (dGMP:ATP)",0
DTMPK,"DTMP kinase",0
NDPK1,"Nucleoside-diphosphate kinase (ATP:GDP)",-1000
TRDR,"Thioredoxin reductase (NADPH)",0
DDPA,"3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase",0
NMNDA,"Nicotinamide-nucleotide amidase",0
NNAM,"Nicotinamidase",0
P5CD,"1-pyrroline-5-carboxylate dehydrogenase",0
PGMT,"Phosphoglucomutase",-4.01964071856287
FRUK,"Fructose-1-phosphate kinase",0
SPMDAT1,"Spermidine acetyltransferase",0
RHCCE,"S-ribosylhomocysteine cleavage enzyme",0
EX_dha_e,"Dihydroxyacetone exchange",0
KG6PDC,"3-keto-L-gulonate 6-phosphate decarboxylase",0
SPMDAT2,"Spermidine acetyltransferase (N8)",0
TDPADGAT,"DTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase",0
MALS,"Malate synthase",0
X5PL3E,"L-xylulose 5-phosphate 3-epimerase",0
DOGULNR,"2,3 dioxo-L-gulonate reductase",0
TRE6PP,"Trehalose-phosphatase",0
EX_fuc__L_e,"L-Fucose exchange",0
EX_met__D_e,"D-Methionine exchange",0
EX_tartr__L_e,"L-tartrate exchange",0
BETALDHx,"Betaine-aldehyde dehydrogenase",0
BETALDHy,"Betaine-aldehyde dehydrogenase",0
MLTG3,"Maltodextrin glucosidase (maltopentaose)",0
EX_taur_e,"Taurine exchange",0
EX_maltpt_e,"Maltopentaose exchange",0
